title,price_gbp,rating,in_stock,price_inr,category
"Fables, Vol. 1: Legends in Exile (Fables #1)",41.62,4,True,4390.91,Sequential Art
Batman: The Long Halloween (Batman),36.5,2,True,3850.75,Sequential Art
Batman: The Dark Knight Returns (Batman),15.38,5,True,1622.59,Sequential Art
"Wonder Woman: Earth One, Volume One (Wonder Woman: Earth One #1)",37.34,4,True,3939.37,Sequential Art
"We Are Robin, Vol. 1: The Vigilante Business (We Are Robin #1)",53.9,1,True,5686.45,Sequential Art
Through the Woods,25.38,2,True,2677.59,Sequential Art
Superman Vol. 1: Before Truth (Superman by Gene Luen Yang #1),11.89,5,True,1254.4,Sequential Art
"So Cute It Hurts!!, Vol. 6 (So Cute It Hurts!! #6)",35.43,4,True,3737.87,Sequential Art
Robin War,47.82,3,True,5045.01,Sequential Art
"Red Hood/Arsenal, Vol. 1: Open for Business (Red Hood/Arsenal #1)",25.48,2,True,2688.14,Sequential Art
"Naruto (3-in-1 Edition), Vol. 14: Includes Vols. 40, 41 & 42 (Naruto: Omnibus #14)",38.39,2,True,4050.15,Sequential Art
Lowriders to the Center of the Earth (Lowriders in Space #2),51.51,2,True,5434.31,Sequential Art
El Deafo,57.62,5,True,6078.91,Sequential Art
Batman: Europa,32.01,2,True,3377.06,Sequential Art
Art Ops Vol. 1,48.8,3,True,5148.4,Sequential Art
"Adulthood Is a Myth: A ""Sarah's Scribbles"" Collection",10.9,2,True,1149.95,Sequential Art
"Fruits Basket, Vol. 9 (Fruits Basket #9)",33.95,4,True,3581.73,Sequential Art
Roller Girl,14.1,5,True,1487.55,Sequential Art
"Fruits Basket, Vol. 7 (Fruits Basket #7)",19.57,1,True,2064.64,Sequential Art
"Fruits Basket, Vol. 6 (Fruits Basket #6)",20.96,4,True,2211.28,Sequential Art
"Death Note, Vol. 6: Give-and-Take (Death Note #6)",36.39,3,True,3839.15,Sequential Art
"Fruits Basket, Vol. 5 (Fruits Basket #5)",16.33,1,True,1722.82,Sequential Art
"Death Note, Vol. 5: Whiteout (Death Note #5)",52.41,1,True,5529.26,Sequential Art
"The Demon Prince of Momochi House, Vol. 4 (The Demon Prince of Momochi House #4)",27.88,2,True,2941.34,Sequential Art
"Fruits Basket, Vol. 4 (Fruits Basket #4)",50.44,4,True,5321.42,Sequential Art
"The Wicked + The Divine, Vol. 3: Commercial Suicide (The Wicked + The Divine)",14.41,3,True,1520.26,Sequential Art
"The Sandman, Vol. 3: Dream Country (The Sandman (volumes) #3)",55.55,5,True,5860.53,Sequential Art
"Saga, Volume 3 (Saga (Collected Editions) #3)",21.57,5,True,2275.64,Sequential Art
Prodigy: The Graphic Novel (Legend: The Graphic Novel #2),43.63,3,True,4602.97,Sequential Art
Persepolis: The Story of a Childhood (Persepolis #1-2),39.13,1,True,4128.22,Sequential Art
Original Fake,31.45,3,True,3317.98,Sequential Art
"Grayson, Vol 3: Nemesis (Grayson #3)",42.72,1,True,4506.96,Sequential Art
"Fruits Basket, Vol. 3 (Fruits Basket #3)",45.17,2,True,4765.44,Sequential Art
"Black Butler, Vol. 1 (Black Butler #1)",49.31,1,True,5202.21,Sequential Art
Awkward,38.02,2,True,4011.11,Sequential Art
"The Sandman, Vol. 2: The Doll's House (The Sandman (volumes) #2)",54.81,1,True,5782.46,Sequential Art
"Saga, Volume 2 (Saga (Collected Editions) #2)",11.75,3,True,1239.63,Sequential Art
"Fruits Basket, Vol. 2 (Fruits Basket #2)",11.64,5,True,1228.02,Sequential Art
"Y: The Last Man, Vol. 1: Unmanned (Y: The Last Man #1)",18.51,4,True,1952.81,Sequential Art
"The Wicked + The Divine, Vol. 1: The Faust Act (The Wicked + The Divine)",36.52,2,True,3852.86,Sequential Art
"The Sandman, Vol. 1: Preludes and Nocturnes (The Sandman (volumes) #1)",54.12,3,True,5709.66,Sequential Art
The Complete Maus (Maus #1-2),10.64,3,True,1122.52,Sequential Art
"Skip Beat!, Vol. 01 (Skip Beat! #1)",42.12,3,True,4443.66,Sequential Art
"Saga, Volume 1 (Saga (Collected Editions) #1)",28.48,1,True,3004.64,Sequential Art
"Rat Queens, Vol. 1: Sass & Sorcery (Rat Queens (Collected Editions) #1-5)",46.96,5,True,4954.28,Sequential Art
"Paper Girls, Vol. 1 (Paper Girls #1-5)",21.71,4,True,2290.41,Sequential Art
"Ouran High School Host Club, Vol. 1 (Ouran High School Host Club #1)",29.87,3,True,3151.29,Sequential Art
"Ms. Marvel, Vol. 1: No Normal (Ms. Marvel (2014-2015) #1)",39.39,4,True,4155.65,Sequential Art
"Hawkeye, Vol. 1: My Life as a Weapon (Hawkeye #1)",45.24,3,True,4772.82,Sequential Art
"Giant Days, Vol. 1 (Giant Days #1-4)",56.76,4,True,5988.18,Sequential Art
"Fruits Basket, Vol. 1 (Fruits Basket #1)",40.28,5,True,4249.54,Sequential Art
"Bleach, Vol. 1: Strawberry and the Soul Reapers (Bleach #1)",34.65,5,True,3655.58,Sequential Art
"Ajin: Demi-Human, Volume 1 (Ajin: Demi-Human #1)",57.06,4,True,6019.83,Sequential Art
